Gender,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,Pitch Mean,Pitch Max,Pitch Min,Pitch Std Dev,Intensity Mean,Intensity Max,Intensity Min,Intensity Std Dev,Emotion
Female,100.6795919,91.62988582,62.89016514,60.74018831,24.07566702,46.94345732,23.49399137,28.66466338,22.52270391,25.16502282,23.02477583,23.13538458,294.2889726,475.404818,170.2527898,86.47244948,45.61632833,83.79120969,15.2177816,25.68910149,anger
Female,107.606533,81.24076685,44.60181009,74.69697729,30.04456629,51.24503144,28.97136541,25.79827507,20.11388305,26.91215658,26.05866335,24.85459437,326.2184276,508.444341,175.290096,101.2134325,44.360464,86.78575818,13.66157011,25.63488303,anger
Female,100.2777899,59.07932666,56.4986775,68.9566432,27.27236491,44.62203347,24.51549863,38.62117239,22.73603175,23.83983156,24.20199538,19.43396396,268.2908551,396.1539326,175.181691,59.4750071,44.40656534,80.66450831,13.66319198,25.44439177,anger
Female,97.3321757,104.4767031,50.36054253,78.04305335,38.27614972,53.97367385,27.14350076,37.86191023,23.85149529,22.56803695,22.29614895,32.96729591,329.7824104,432.1167366,171.2837199,69.8319507,54.50023224,84.81880439,13.75471567,26.54866085,anger
Female,91.77305198,93.09636072,55.35861058,86.22235193,29.10482184,60.29535651,21.97572711,41.16478919,21.82822794,20.96551997,25.3072953,20.66791984,312.9793819,386.1080631,199.2841786,44.06960962,51.1414494,84.13503636,13.80631493,26.66876302,anger
Female,93.79813012,113.9028285,46.14933997,77.64208783,27.83895373,56.83638603,29.35693514,37.11402728,23.00754015,26.13691309,22.88410018,18.27185964,319.0151367,364.5177874,214.8232592,36.33589301,52.23082581,84.86637443,13.87835423,26.39156151,anger
Female,82.61786936,99.04116993,39.15948944,75.47912091,34.29826549,53.69490833,24.86589883,36.40527086,22.3952327,27.21999744,28.56519959,28.63847884,342.6134123,477.8711212,190.3940346,76.15482266,50.0348747,83.94308253,13.76722968,27.31449995,anger
Female,90.29118521,92.7029191,47.6832911,75.64993144,31.38464297,48.55400305,24.38746098,36.94793883,27.19127866,25.93366316,30.55364827,27.130844,318.6217278,478.1202432,190.7663054,77.99180356,47.00756175,83.61918329,13.98724578,27.21055851,anger
Female,84.50550506,90.23275358,35.7599126,68.47931793,26.46563216,46.38779662,21.53078374,34.25745604,20.75597208,21.65072532,23.7688975,25.7511595,348.8605557,494.2932626,193.3547661,79.77876476,40.66660145,84.13207362,13.68727785,26.18615122,anger
Female,88.06121415,84.29869909,52.9115267,80.20974662,30.06878222,51.2117395,27.38147522,38.28257,22.51477208,25.79647071,24.51092963,25.37196609,308.7779092,434.548116,193.6838449,65.37875694,48.41542806,83.15464706,13.4470935,25.94717299,anger
